Статус КИ,Фаза КИ,Города,Название ЛП,"Название организации, проводящей КИ",Номер и дата РКИ,Дата начала и окончания КИ,Терапевтическая область,Название протокола,протокол_номер
Проводится,III,Москва,ЛИКОПИД® (Глюкозаминилмурамилдипептид),"АО ""Пептек""",483 30.08.2021,30.08.2021 - 31.12.2022,"Дерматология, Терапия (общая), Оториноларингология","Многоцентровое двойное слепое плацебо-контролируемое рандомизированное клиническое исследование эффективности и безопасности препарата Ликопид®, таблетки, 10 мг и 1 мг (АО Пептек, Россия), у пациентов после проведенного пункционного лечения, связанного с обострением хронического риносинусита",Протокол LKPS-III-06-2020
Проводится,II,"Москва, Санкт-Петербург",Пембролизумаб (MK-3475),Мерк Шарп и Доум Корп. (подразделение компании Мерк и Ко. Инк.),488 31.08.2021,31.08.2021 - 30.07.2023,"Гематология, Онкология",Исследование II фазы пембролизумаба и химиотерапии у пациентов с впервые диагностированной классической лимфомой Ходжкина (KEYNOTE-C11),Протокол MK-3475-C11
Проводится,II,"Москва, Санкт-Петербург",MK-1026 (ARQ 531),Мерк Шарп и Доум Корп. (подразделение компании Мерк и Ко. Инк.),487 31.08.2021,31.08.2021 - 30.07.2023,"Гематология, Онкология",Исследование II фазы для оценки эффективности и безопасности препарата MK-1026 у пациентов с различными онкогематологическими заболеваниями,Протокол MK-1026-003
Проводится,III,Москва,ЛИКОПИД® (Глюкозаминилмурамилдипептид),"АО ""Пептек""",485 31.08.2021,31.08.2021 - 31.12.2022,"Дерматология, Терапия (общая), Оториноларингология","Многоцентровое двойное слепое плацебо-контролируемое рандомизированное клиническое исследование эффективности и безопасности препарата Ликопид®, таблетки, 10 мг и 1 мг (АО Пептек, Россия), у пациентов с обострением хронического риносинусита",Протокол LKPT-III-06-2020
Проводится,Биоэквивалентность,Санкт-Петербург,Эверолимус (BCD-122),"ЗАО ""БИОКАД""",490 01.09.2021,01.09.2021 - 31.12.2024,"Онкология, Терапия (общая)","Открытое рандомизированное перекрестное исследование биоэквивалентности препаратов BCD-122 (ЗАО БИОКАД, Россия) и Афинитор у здоровых субъектов при пероральном приеме натощак",Протокол BCD-122-2
Проводится,Биоэквивалентность,Москва,Ацетилсалициловая кислота Кардио (Ацетилсалициловая кислота),"ОАО ""Фармстандарт-Лексредства""",496 02.09.2021,02.09.2021 - 31.12.2022,"Общая врачебная практика (семейная медицина), Терапия (общая)","Рандомизированное открытое перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препаратов Ацетилсалициловая кислота Кардио, таблетки кишечнорастворимые, покрытые пленочной оболочкой, 100 мг (ОАО Фармстандарт-Лексредства, Россия), и Аспирин® Кардио, таблетки, кишечнорастворимые, покрытые оболочкой, 100 мг (Байер Консьюмер Кэр АГ, Швейцария), у здоровых добровольцев натощак",Протокол PHS-ASK-0221
Проводится,Биоэквивалентность,Москва,Энтекавир,"ООО ""Атолл""",494 02.09.2021,02.09.2021 - 31.12.2024,Терапия (общая),"Проспективное, открытое, рандомизированное, перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препарата Энтекавир, таблетки, покрытые пленочной оболочкой 1,0 мг (ООО Атолл, Россия), в сравнении с препаратом Бараклюд® таблетки, покрытые пленочной оболочкой 1,0 мг (держатель РУ Бристол-Майерс Сквибб Компани, США), у здоровых добровольцев",Протокол ENT-01
Проводится,II,"Волгоград, Кемерово, Оренбург, Санкт-Петербург",ALPN-101,"«Альпин Иммьюн Сайенсис, Инк.»",491 02.09.2021,02.09.2021 - 01.05.2023,Ревматология,"Рандомизированное, двойное слепое, плацебо-контролируемое исследование препарата ALPN-101 при Системной Красной Волчанке",Протокол AIS-A03
Проводится,III,"Казань, Москва, Рязань, Санкт-Петербург",Лонкастуксимаб Тезирин (ADCT-402),АДЦ Терапьютикс СА,497 02.09.2021,02.09.2021 - 30.06.2026,Онкология,Рандомизированное исследование фазы 3 препарата Лонкастуксимаб Тезирин в комбинации с Ритуксимабом по сравнению с иммунохимиотерапией у пациентов с рецидивирующей или рефрактерной диффузной В-крупноклеточной лимфомой (DLBCL) (LOTIS-5),Протокол ADCT-402-311
Проводится,Биоэквивалентность,Санкт-Петербург,Ритонавир,Хетеро Лабс Лимитед,498 03.09.2021,03.09.2021 - 31.12.2023,Другое,"Открытое, рандомизированное, перекрестное двухпериодное исследование сравнительной фармакокинетики и биоэквивалентности препаратов Ритонавир, таблетки, покрытые пленочной оболочкой, 100 мг (Хетеро Лабс Лимитед, Индия) и Норвир®, таблетки, покрытые пленочной оболочкой, 100 мг (ЭббВи Дойчланд ГмбХ и Ко.КГ, Германия) у здоровых добровольцев",Протокол RITO_HD_01
Проводится,II,"Архангельск, Москва, Санкт-Петербург",Тусамитамаб равтансин (SAR408701),Санофи-авентис Ресерч энд Девелопмент,503 03.09.2021,03.09.2021 - 28.02.2023,Онкология,"Открытое исследование тусамитамаб равтансина (SAR408701) в комбинации с рамуцирумабом у больных, ранее леченных по поводу распространенной аденокарциномы желудка или желудочно-пищеводного соединения (ЖПС) с CEACAM5-положительными опухолями.",Протокол ACT16444
Проводится,II-III,"Екатеринбург, Казань, Москва, Новосибирск, Санкт-Петербург, Симферополь, Томск, Уфа",GNR-055 (HIR-FAB-IDS),"АО ""ГЕНЕРИУМ""",499 03.09.2021,03.09.2021 - 31.12.2025,Пульмонология,"Многоцентровое открытое мультикогортное исследование безопасности,   фармакокинетики, фармакодинамики и эффективности препарата GNR-055 (АО ГЕНЕРИУМ, Россия) у пациентов с мукополисахаридозом II типа",Протокол IDB-MPS-II-III
Проводится,IV,"Москва, Санкт-Петербург",Секстафаг® (Пиобактериофаг поливалентный),"Акционерное общество ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген"" (АО ""НПО ""Микроген"")",501 06.09.2021,06.09.2021 - 31.12.2023,Акушерство и гинекология,Сравнительное рандомизированное исследование по изучению эффективности и безопасности препарата Секстафаг® в лечении неспецифического (аэробного) вагинита,Протокол ВНГ-П-IV-ПМ-004/2020
Проводится,III,"Москва, Санкт-Петербург, Уфа",АВИАНДР (CD-008-0045),"Общество с ограниченной ответственностью ""Научно-исследовательский институт ХимРар""",500 06.09.2021,06.09.2021 - 01.12.2022,"Психиатрия, Терапия (общая)","Многоцентровое рандомизированное открытое исследование эффективности и безопасности препарата CD-008-0045 (ООО НИИ ХимРар, Россия) в сравнении с активным контролем у пациентов со стрессовой реакцией и нарушением адаптации.",Протокол CNS-CD0080045-07
Проводится,III,"Москва, Омск, Санкт-Петербург, Сочи",LOXO-305 (LY3527727),"Локсо Онколоджи, Инк.",502 06.09.2021,06.09.2021 - 28.02.2023,"Гематология, Онкология","Открытое, рандомизированное исследование III фазы, проводимое для сравнения LOXO-305 с выбранной исследователем комбинацией иделалисиба и ритуксимаба или бендамустина и ритуксимаба при лечении пациентов с хроническим лимфолейкозом/мелкоклеточной лимфоцитарной лимфомой (BRUIN CLL-321)",Протокол LOXO-BTK-20020
Проводится,II,"Москва, Санкт-Петербург, Уфа","МК-7684А (МК-7684 + МК-3475, вибостолимаб + пембролизумаб)",Мерк Шарп и Доум Корп. (подразделение компании Мерк и Ко. Инк.),505 08.09.2021,08.09.2021 - 30.07.2023,"Гематология, Онкология",Открытое исследование II фазы для оценки безопасности и эффективности препарата МК-7684А (МК-7684 [Вибостолимаб] с МК-3475 [Пембролизумаб] в комбинированной лекарственной форме) у пациентов с рецидивирующими или рефрактерными онкогематологическими заболеваниями,Протокол MK-7684A-004
Проводится,Биоэквивалентность,Ярославль,Тикагрелор,ОАО «Гедеон Рихтер»,504 08.09.2021,08.09.2021 - 01.04.2023,"Терапия (общая), Кардиология","Одноцентровое открытое рандомизированное с двумя периодами, двумя последовательностями перекрестное сравнительное исследование биоэквивалентности препаратов Тикагрелор, таблетки, покрытые пленочной оболочкой, 90 мг (ОАО Гедеон Рихтер, Венгрия) и Брилинта®, таблетки, покрытые пленочной оболочкой, 90 мг (АстраЗенека АБ, Швеция) у здоровых добровольцев при однократном применении натощак",Протокол EAEU-KIFO-TICA-01-2020
Проводится,III,"Барнаул, Домодедово, Казань, Кемерово, Москва, Новосибирск, Самара",Палтусотин (CRN00808),"Крайнетикс Фармасьютикалс, Инк. (Crinetics Pharmaceuticals, Inc.)",507 08.09.2021,08.09.2021 - 15.10.2025,Эндокринология (терапевтическая),"Рандомизированное сравнительное многоцентровое исследование безопасности и эффективности палтусотина у пациентов с акромегалией, проходящих лечение лигандами соматостатиновых рецепторов длительного действия",Протокол CRN00808-09
Проводится,III,"Архангельск, Москва, Санкт-Петербург",Пиротиниба малеат (HR-BLTN-Ⅲ-NSCLC),"Цзяньсу Хэнжуй Медисин Ко., Лтд.",506 08.09.2021,08.09.2021 - 01.02.2023,Онкология,"Многоцентровое, рандомизированное, открытое исследование III фазы для оценки эффективности и безопасности пиротиниба в сравнении с доцетакселом у пациентов с распространенным неплоскоклеточным немелкоклеточным раком легкого (НМКРЛ), несущим мутацию в экзоне 20 гена HER2, у которых было зарегистрировано прогрессирование во время или после химиотерапии на основе препаратов платины",Протокол HR-BLTN-III-NSCLC
Проводится,Биоэквивалентность,Ярославль,Нейромексол (Этилметилгидроксипиридина сукцинат),ФГУП «МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД»,518 09.09.2021,09.09.2021 - 30.11.2023,"Терапия (общая), Неврология","Открытое рандомизированное перекрестное двухпериодное с адаптивным дизайном исследование биоэквивалентности препаратов Нейромексол, таблетки, покрытые пленочной оболочкой 125 мг (ООО Эндокринные технологии, Россия), и Мексидол, таблетки, покрытые пленочной оболочкой 125 мг (ООО НПК ФАРМА-СОФТ, Россия) у здоровых субъектов после однократного приема каждого из препаратов натощак",Протокол НРМ-ВЕ-05/2021
Проводится,III,"Киров, Кузьмоловский, Москва, Санкт-Петербург, Томск, Уфа, Ярославль",МК-4280А (МК-4280 + МК-3475 (Пембролизумаб),Мерк Шарп и Доум Корп. (подразделение компании Мерк и Ко. Инк.),511 09.09.2021,09.09.2021 - 02.07.2025,Онкология,"Исследование III фазы препарата MK-4280A (комбинированная лекарственная форма фавезелимаба[MK-4280] и пембролизумаба [MK-3475]) по сравнению со стандартной терапией у пациентов с метастатическим колоректальным раком с положительным PD-L1 статусом, ранее получавших лечение",Протокол МК-4280А-007
Проводится,Биоэквивалентность,Санкт-Петербург,Проанес (Пропофол),ФГУП «МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД»,517 09.09.2021,09.09.2021 - 30.11.2023,Анастезиология и реаниматология,"Рандомизированное открытое четырехпериодное перекрестное исследование сравнительной фармакокинетики и биоэквивалентности лекарственных препаратов Проанес, эмульсия для внутривенного введения, 10 мг/мл (ФГУП Московский эндокринный завод, Россия), и Диприван®, эмульсия для внутривенного введения, 10 мг/мл (Аспен Фарма Трейдинг Лимитед, Ирландия), у здоровых добровольцев натощак",Протокол PPF-BE-05/2021
Проводится,II,"Москва, Омск, Саратов, Ярославль",Мексидол® (Этилметилгидроксипиридина сукцинат); Мексидол® ФОРТЕ (Этилметилгидроксипиридина сукцинат),"ООО «НПК «ФАРМАСОФТ», Россия",510 09.09.2021,09.09.2021 - 31.07.2023,"Психиатрия, Неврология, Офтальмология, Хирургия гнойная","Проспективное многоцентровое рандомизированное двойное слепое плацебо-контролируемое в параллельных группах сравнительное исследование эффективности и безопасности разных дозировок при последовательной терапии препаратами Мексидол® раствор для внутривенного и внутримышечного введения, 50 мг/мл (ООО НПК ФАРМАСОФТ, Россия) и Мексидол® таблетки, покрытые пленочной оболочкой, 125 мг (ООО НПК ФАРМАСОФТ, Россия) или Мексидол® ФОРТЕ 250 таблетки, покрытые пленочной оболочкой, 250 мг (ООО НПК ФАРМАСОФТ, Россия) у пациентов с первичной открытоугольной глаукомой",Протокол PHS-FOG-006-MEX-SOL-TAB
Проводится,Биоэквивалентность,Серпухов,Ницерголин,"АО ""АВВА РУС""",519 09.09.2021,09.09.2021 - 17.05.2023,Неврология,"Открытое, рандомизированное, перекрестное в двух периодах, с адаптивным дизайном исследование сравнительной фармакокинетики и биоэквивалентности препаратов Ницерголин таблетки, покрытые оболочкой, 10 мг (АО АВВА РУС, Россия) и Сермион® таблетки, покрытые оболочкой, 10 мг (Пфайзер Инк, США) после однократного приема натощак с участием здоровых добровольцев",Протокол Nicergoline-BE-04/2021-ICD
Проводится,III,"Екатеринбург, Казань, Кемерово, Красноярск, Москва, Самара, Санкт-Петербург, Саратов, Смоленск","MK-8591A (Доравирин (DOR, MK-1439) + Ислатравир (ISL, MK-8591)",Мерк Шарп и Доум Корп. (подразделение компании Мерк и Ко. Инк.),516 09.09.2021,09.09.2021 - 20.05.2026,Инфекционные болезни,"Открытое клиническое исследование III фазы, проводимое для продления терапии препаратом доравирин/ислатравир (DOR/ISL) с режимом приема один раз в сутки у ВИЧ-1-инфицированных пациентов, которые ранее получали лечение препаратом доравирин/ислатравир в исследованиях II и III фазы",Протокол MK-8591A-033
Проводится,II,"Красноярск, Санкт-Петербург","Пембролизумаб (MK-3475); Ленватиниб (MK-7902, E7080); MK-5890; MK-4830",Мерк Шарп и Доум Корп. (подразделение компании Мерк и Ко. Инк.),508 09.09.2021,09.09.2021 - 30.07.2023,Онкология,"Исследование 2 фазы по оценке эффективности и безопасности применения препарата пембролизумаба в комбинации с другими исследуемыми препаратами, а также с этопозидом и цисплатином или карбоплатином, в качестве первой линии терапии у пациентов с распространенным мелкоклеточным раком легкого (KEYNOTE-B99)",Протокол MK-3475-B99
Проводится,Биоэквивалентность,Москва,Доксазозин-Бинергия,"Акционерное общество ""Бинергия""",514 09.09.2021,09.09.2021 - 31.12.2023,"Гематология, Урология","Одноцентровое, открытое, рандомизированное, перекрестное, двухпериодное, двухпоследовательное исследование относительной биодоступности и биоэквивалентности лекарственных препаратов Доксазозин-Бинергия, таблетки, 4 мг (ООО НПФ ФармВИЛАР, Россия) и Кардура®, таблетки, 4 мг (Пфайзер Инк, США), при однократном приеме натощак здоровыми добровольцами",Протокол DOX-BE-15-2021
Проводится,IIIb,"Владимир, Ижевск, Казань, Кемерово, Королев, Москва, Новосибирск, Оренбург, Петрозаводск, Рязань, Санкт-Петербург, Саратов, Томск, Тула, Ульяновск, Челябинск, Ярославль",Гуселькумаб (CNTO 1959),Янссен Фармацевтика НВ,512 09.09.2021,09.09.2021 - 10.04.2025,Ревматология,"Многоцентровое рандомизированное, двойное слепое, плацебо-контролируемое исследование фазы 3B для оценки эффективности и безопасности подкожного введения Гуселькумаба для улучшения признаков, симптомов и замедления рентгенологической прогрессии у пациентов с активным псориатическим артритом (APEX).",Протокол CNTO1959PSA3004
Проводится,Биоэквивалентность,Москва,Периндоприл (Периндоприл-Алиум),"Акционерное общество ""АЛИУМ""",515 09.09.2021,09.09.2021 - 31.12.2023,Терапия (общая),"Исследование сравнительной фармакокинетики и биоэквивалентности препарата ПЕРИНДОПРИЛ-АЛИУМ, таблетки, 8 мг и препарата сравнения Престариум®А, таблетки, покрытые пленочной оболочкой, 10 мг",Протокол 17-PERI-t-CT-01
Проводится,Биоэквивалентность,Ярославль,Дабигатран,ООО «ПРОМОМЕД РУС»,524 10.09.2021,10.09.2021 - 21.06.2022,"Кардиология, Неврология, Эндокринология (терапевтическая), Сосудистая хирургия","Открытое рандомизированное перекрестное сравнительное исследование фармакокинетики и биоэквивалентности препаратов Дабигатран, капсулы, 150 мг (ООО ПРОМОМЕД РУС, Россия) и Прадакса®, капсулы, 150 мг (Берингер Ингельхайм Интернешнл ГмбХ, Германия), с участием здоровых добровольцев.",Протокол DAB-042021
Проводится,IIb,"Домодедово, Казань, Краснодар, Красноярск, Москва, Новосибирск, Пятигорск, Санкт-Петербург, Томск",Норухолевая кислота (Норурсодезоксихолевая кислота),Д-р Фальк Фарма ГмбХ / Dr. Falk Pharma GmbH,520 10.09.2021,10.09.2021 - 31.07.2024,"Терапия (общая), Гастроэнтерология","Двойное-слепое, рандомизированное, плацебо-контролируемое исследование IIб фазы по оценке эффективности и безопасности норурсодезоксихолевой кислоты в таблетках у пациентов с неалкогольным стеатогепатитом (НАСГ)",Протокол NUT-3/NAS
Проводится,IIb,"Екатеринбург, Казань, Королев, Москва, Петрозаводск, Санкт-Петербург",ABBV-154,“ЭббВи Инк.”,523 10.09.2021,10.09.2021 - 31.12.2024,"Иммунология, Ревматология",Рандомизированное двойное слепое плацебо-контролируемое исследование для оценки безопасности и эффективности ABBV-154 у пациентов с ревматоидным артритом средней и высокой активности с неадекватным ответом на биологические и/или таргетные  синтетические модифицирующие болезнь противоревматические препараты (b/tsDMARDs),Протокол M20-466
Проводится,Ib,"Архангельск, Истра, Москва, Рязань, Санкт-Петербург","Капивасертиб (AZD5363); Трастузумаб дерукстекан (T DXd, AZD4552, DS-8201a); Дурвалумаб (ИМФИНЗИ®, MEDI4736)",АстраЗенека АБ,521 10.09.2021,10.09.2021 - 24.06.2022,Онкология,"Многоцентровое открытое модульное исследование Ib фазы по подбору дозы и расширенному изучению выбранной дозы для оценки безопасности, переносимости, фармакокинетики и противоопухолевой активности трастузумаба дерукстекана (T-DXd) в комбинации с другими противоопухолевыми препаратами у пациентов с метастатическим раком молочной железы с низкой экспрессией HER2 (DESTINY-Breast08)",Протокол D967JC00002
Проводится,III,"Москва, Рязань, Санкт-Петербург, Саратов, Смоленск",Анифролумаб (MEDI-546),АстраЗенека AБ,528 10.09.2021,10.09.2021 - 29.02.2024,Иммунология,"Многоцентровое, рандомизированное, двойное слепое, плацебо-контролируемое исследование фазы 3 по оценке эффективности и безопасности препарата анифролумаб для подкожного введения у взрослых пациентов с системной красной волчанкой",Протокол D3465C00001
Проводится,Биоэквивалентность,Ярославль,Битенза (Периндоприл + Амлодипин),УП «Минскинтеркапс,529 10.09.2021,10.09.2021 - 31.12.2022,"Терапия (общая), Кардиология","Проспективное, открытое, рандомизированное, перекрестное, сравнительное исследование фармакокинетики и биоэквивалентности лекарственных препаратов Битенза (периндоприл + амлодипин, 8/10 мг), капсулы, производства УП Минскинтеркапс, Республика Беларусь, и Престанс (периндоприл + амлодипин, 10/10 мг), таблетки, производства Ле Лаборатуар Сервье, Франция, у здоровых добровольцев с однократным приемом внутрь натощак",Протокол BITENZA-MIC-2021
Проводится,Биоэквивалентность,Москва,Калимин® 60 Н (Пиридостигмина бромид),Тева Фармацевтические предприятия Лтд.,522 10.09.2021,10.09.2021 - 30.06.2023,Неврология,"Рандомизированное открытое адаптивное перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препаратов Калимин® 60 Н, таблетки, 60 мг (Тева), и Местинон, таблетки, 60 мг (МЕДА Фармасьютикалс Швейцария ГмбХ), после однократного приема у здоровых добровольцев натощак.",Протокол BE-PYR01-21
Проводится,Биоэквивалентность,Москва,Церукал® (Метоклопрамид),Тева Фармацевтические предприятия Лтд.,527 10.09.2021,10.09.2021 - 30.06.2023,"Терапия (общая), Гастроэнтерология","Рандомизированное открытое перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препаратов Церукал®, таблетки, 10 мг (Тева), и Примперан, таблетки, 10 мг (Санофи-Авентис, Франция), после однократного приема, у здоровых добровольцев натощак.",Протокол BE-CER01-21
Проводится,Биоэквивалентность,Санкт-Петербург,Левофлоксацин,"Общество с ограниченной ответственностью ""Брайт Вэй Индастриз"" (ООО ""Брайт Вэй Индастриз"")",525 10.09.2021,10.09.2021 - 25.01.2023,Терапия (общая),"Открытое, рандомизированное, перекрестное, в двух периодах исследование сравнительной фармакокинетики и биоэквивалентности исследуемого препарата Левофлоксацин таблетки, покрытые пленочной оболочкой, 750 мг (ООО Велфарм, Россия) и референтных препаратов, принимаемых одновременно, Таваник® таблетки, покрытые пленочной оболочкой, 500 мг (Санофи-Авентис Дойчланд ГмбХ, Германия) и Таваник® таблетки, покрытые пленочной оболочкой, 250 мг (Санофи-Авентис Дойчланд ГмбХ, Германия) с участием здоровых добровольцев натощак",Протокол BE-22102020-LevBWI
Проводится,II,"Кемерово, Москва, Смоленск",VIB7734,"Виела Био, Инк. / Viela Bio, Inc.",530 13.09.2021,13.09.2021 - 01.10.2023,Ревматология,"Двойное слепое, рандомизированное, плацебо-контролируемое исследование 2-й фазы, в котором оценивается эффективность и безопасность препарата VIB7734 для лечения системной красной волчанки умеренной или высокой активности",Протокол VIB7734.P2.S1
Проводится,Биоэквивалентность,Москва,Лерканидипин,Тева Фармацевтические предприятия Лтд.,382 15.07.2021,15.07.2021 - 30.12.2022,Терапия (общая),"Открытое, сравнительное, рандомизированное, двухпоследовательное, перекрестное, четырехэтапное, одноцентровое исследование сравнительной биодоступности и биоэквивалентности препаратов Лерканидипин (Тева) таблетки, покрытые пленочной оболочкой, 20 мг и Занидип-Рекордати® (Рекордати Ирландия Лтд.) таблетки, покрытые пленочной оболочкой, 20 мг, после приема внутрь натощак здоровыми добровольцами",Протокол BE-LER01-21
Проводится,Биоэквивалентность,Москва,Рабепразол,Тева Фармацевтические предприятия Лтд.,394 19.07.2021,19.07.2021 - 30.12.2022,Гастроэнтерология,"Открытое, сравнительное, рандомизированное, двухпоследовательное, перекрестное, четырехэтапное, одноцентровое исследование сравнительной биодоступности и биоэквивалентности препаратов Рабепразол (Тева) таблетки, покрытые кишечнорастворимой оболочкой, 20 мг и Париет® (Джонсон & Джонсон) таблетки, покрытые кишечнорастворимой оболочкой, 20 мг, после приема пищи здоровыми добровольцами",Протокол BE-RAB01-21
Проводится,I-II,"Москва, Санкт-Петербург","Вакцина субъединичная рекомбинантная для профилактики коронавирусной инфекции, вызываемой вирусом SARS-CoV-2",Федеральное государственное унитарное предприятие «Санкт-Петербургский научно-исследовательский институт вакцин и сывороток и предприятие по производству бактерийных препаратов» Федерального медико-биологического агентства,388 19.07.2021,19.07.2021 - 31.12.2022,Иммунопрофилактика,"Двойное слепое рандомизированное проспективное плацебо-контролируемое исследование для определения иммуногенности, безопасности и переносимости вакцины от коронавирусной инфекции  у здоровых добровольцев в возрасте от 18 до 60 лет",Протокол 01-COVAC-04/21
Проводится,IV,"Москва, Рязань, Санкт-Петербург, Ярославль",Сулодексид (Вессел® Дуэ Ф),Альфасигма С.п.А.,390 19.07.2021,19.07.2021 - 31.03.2023,Другое,"Многоцентровое, международное, рандомизированное, двойное слепое, плацебо-контролируемое исследование препарата Сулодексид для лечения пациентов с симптомами хронического заболевания вен нижних конечностей ВЕИНС (ВЕнозное ИсследоваНие с Сулодексидом)",Протокол SX-CVD3001/2020
Проводится,II,"Иваново, Краснодар, Санкт-Петербург",Цемиплимаб (REGN2810); ISA101b (HPV-DP-5P); ISA101b (HPV-DP-7P),"Регенерон Фармасьютикалс, Инк.",391 19.07.2021,19.07.2021 - 31.12.2025,Онкология,"Исследование 2 фазы препарата цемиплимаб (анти-PD-1 моноклональное антитело) и вакцины ISA101b у пациенток с рецидивирующим или метастатическим раком шейки матки, вызванным ВПЧ 16 типа, у которых наблюдается прогрессирование заболевания после получения химиотерапии первой линии",Протокол R2810-ONC-ISA-1981
Проводится,II,"Красноярск, Москва, Санкт-Петербург","Пембролизумаб (MK-3475); МК-1308А (Квавонлимаб (MK-1308) + Пембролизумаб (МК-3475); MK-4830; Ленватиниб (MK-7902, E7080); MK-4280A (MK-4280 + Пембролизумаб (МК-3475)",Мерк Шарп и Доум Корп. (подразделение компании Мерк и Ко. Инк.),389 19.07.2021,19.07.2021 - 30.07.2023,Онкология,"Исследование 1b/2 фазы по оценке эффективности и безопасности применения препарата пембролизумаб в комбинации с другими исследуемыми препаратами для лечения пациентов с PD-1/L1-рефрактерным распространенным мелкоклеточным раком легкого, нуждающихся во второй линии терапии (KEYNOTE-B98)",Протокол MK-3475-B98
Проводится,Биоэквивалентность,Ярославль,Гидазепам,"Акционерное общество ""Валента Фармацевтика""",392 19.07.2021,19.07.2021 - 31.12.2022,Психиатрия,"Открытое, рандомизированное, перекрестное, с адаптивным дизайном исследование по изучению сравнительной фармакокинетики и биоэквивалентности препаратов Гидазепам®, таблетки 50 мг (АО Усолье-Сибирский химфармзавод, Россия) и Гидазепам VIC, таблетки 50 мг (ТОО ВИВА ФАРМ, Республика Казахстан) у здоровых добровольцев при однократном применении.",Протокол ГЗМ-05-01-2021
Проводится,III,"Калуга, Москва, Омск, Оренбург, Пятигорск, Санкт-Петербург, Саранск, Уфа, Челябинск, Ярославль","Энкорафениб (PF-07263896, LGX818, ONO-7702, W0090)",Pfizer Inc.,393 19.07.2021,30.07.2021 - 15.11.2026,Онкология,Открытое многоцентровое рандомизированное исследование фазы 3 с целью изучения энкорафениба плюс цетуксимаб с химиотерапией или без в качестве терапии первой линии по сравнению со стандартной терапией с вводной фазой для оценки безопасности энкорафениба и цетуксимаба в сочетании с химиотерапией у участников с метастатическим колоректальным раком с наличием мутации в гене BRAF V600,Протокол С4221015
Проводится,III,"Екатеринбург, Пермь, Санкт-Петербург, Тюмень",Вакцина пневмококковая полисахаридная конъюгированная адсорбированная тринадцативалентная,"Общество с ограниченной ответственностью ""Нанолек""(ООО ""Нанолек"")",395 21.07.2021,21.07.2021 - 31.12.2022,Иммунопрофилактика,Многоцентровое проспективное сравнительное клиническое исследование эффективности и безопасности Вакцины для профилактики пневмококковых инфекций при проведении ревакцинации с участием здоровых детей,Протокол ПВ 003/20
Проводится,Биоэквивалентность,Ярославль,Микофеноловая кислота,ООО «Озон Медика»,396 22.07.2021,22.07.2021 - 31.12.2024,"Терапия (общая), Иммунология","Проспективное, открытое, рандомизированное, перекрестное, четырехпериодное исследование сравнительной фармакокинетики и биоэквивалентности препарата Микофеноловая кислота, таблетки кишечнорастворимые, покрытые оболочкой, 360 мг (ООО Озон Медика, Россия), в сравнении с препаратом Майфортик®, таблетки, покрытые кишечнорастворимой оболочкой, 360 мг (ООО Новартис Фарма АГ, Швейцария), у здоровых добровольцев после приема пищи",Протокол MPA002
Проводится,II,Санкт-Петербург,Налмефен (Налмефена гидрохлорид),"Федеральное государственное унитарное предприятие Научно-производственный центр ""Фармзащита"" Федерального медико-биологического агентства (ФГУП НПЦ ""Фармзащита"" ФМБА России)",400 26.07.2021,26.07.2021 - 31.12.2022,Токсикология,"Открытое рандомизированное с адаптивным дизайном сравнительное исследование эффективности, безопасности и переносимости препарата Налмефена гидрохлорид, раствор для внутримышечного введения, 2 мг/мл в преднаполненных шприцах (ФГУП НПЦ ФАРМЗАЩИТА ФМБА России) в сравнении с препаратом Налоксон, раствор для инъекций, 0,4 мг/мл (Керн Фарма С.Л., Испания) у пациентов с острыми отравлениями метадоном средней и тяжелой степени тяжести",Протокол NALM_HCl_II_2020
